DATE_TIME,current_contract,next_contract,carry_contract
2024-03-20 14:00:01,20240500,20240600,20240600
2024-05-01 23:00:00,20240600,20240700,20240700
2024-05-31 23:00:00,20240700,20240800,20240800
2024-07-01 23:00:00,20240800,20240900,20240900
2024-08-01 23:00:00,20240900,20241000,20241000
2024-08-30 23:00:00,20241000,20241100,20241100
2024-10-01 23:00:00,20241100,20241200,20241200
2024-10-31 23:00:00,20241200,20250100,20250100
2024-12-02 23:00:00,20250100,20250200,20250200
2024-12-31 09:00:00,20250200,20250300,20250300
2025-01-29 09:00:00,20250300,20250400,20250400
2025-02-28 10:00:00,20250400,20250500,20250500
2025-03-31 09:00:00,20250500,20250600,20250600
2025-05-01 11:00:00,20250600,20250700,20250700
2025-05-30 12:00:00,20250700,20250800,20250800
2025-07-01 12:00:00,20250800,20250900,20250900
2025-07-04 08:00:00,20250900,20251000,20251000
