DATE_TIME,current_contract,next_contract,carry_contract
2025-07-18 23:00:00,20251000,20251100,20250900
2025-08-18 23:00:00,20251100,20251200,20251000
2025-09-17 23:00:00,20251200,20260100,20251100
2025-10-17 18:00:00,20260100,20260200,20251200
2025-11-18 15:00:00,20260200,20260300,20260100
2025-12-16 23:00:00,20260300,20260400,20260200
2026-01-16 23:00:00,20260400,20260500,20260300
2026-02-13 23:00:00,20260500,20260600,20260400
2026-03-18 23:00:00,20260600,20260700,20260500
2026-04-17 15:00:00,20260700,20260800,20260600
