secType,_id,symbol,lastTradeDateOrContractMonth,strike,right,multiplier,exchange,primaryExchange,currency,localSymbol,tradingClass,includeExpired,secIdType,secId,description,issuerId,comboLegsDescrip,comboLegs,deltaNeutralContract,marketName,minTick,orderTypes,validExchanges,priceMagnifier,underConId,longName,contractMonth,industry,category,subcategory,timeZoneId,tradingHours,liquidHours,evRule,evMultiplier,mdSizeMultiplier,aggGroup,underSymbol,underSecType,marketRuleIds,secIdList,realExpirationDate,lastTradeTime,stockType,minSize,sizeIncrement,suggestedSizeIncrement,cusip,ratings,descAppend,bondType,couponType,callable,putable,coupon,convertible,maturity,issueDate,nextOptionDate,nextOptionType,nextOptionPartial,notes,pst_contract_key
FUT,697050550,LRC30APR,20241015,0.0,,5000,NYBOT,,USD,30CV4,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202410,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20241016,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20241000
FUT,672547240,LRC30APR,20240613,0.0,,5000,NYBOT,,USD,30CM4,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202406,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20240614,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20240600
FUT,659887846,LRC30APR,20240411,0.0,,5000,NYBOT,,USD,30CJ4,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202404,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20240412,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20240400
FUT,807448870,LRC30APR,20260212,0.0,,5000,NYBOT,,USD,30CG6,30C,False,,,,,,[],,30C,0.005,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALLOC,AVGCOST,BASKET,BENCHPX,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,ICE,IOC,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,OPENCLOSE,PEGBENCH,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF",NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202602,,,,US/Eastern,20251012:1800-20251013:1800;20251013:2000-20251014:1800;20251014:2000-20251015:1800;20251015:2000-20251016:1800;20251016:2000-20251017:1800,20251012:1800-20251013:1800;20251013:2000-20251014:1800;20251014:2000-20251015:1800;20251015:2000-20251016:1800;20251016:2000-20251017:1800,,0,1,2147483647,LRC30APR,IND,57,[],20260213,18:00:00,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20260200
FUT,736321519,LRC30APR,20250414,0.0,,5000,NYBOT,,USD,30CJ5,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202504,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20250415,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20250400
FUT,729525571,LRC30APR,20250313,0.0,,5000,NYBOT,,USD,30CH5,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202503,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20250314,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20250300
FUT,716276699,LRC30APR,20250114,0.0,,5000,NYBOT,,USD,30CF5,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202501,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20250115,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20250100
FUT,631194668,LRC30APR,20231113,0.0,,5000,NYBOT,,USD,30CX3,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202311,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20231113,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20231100
FUT,748578787,LRC30APR,20250612,0.0,,5000,NYBOT,,USD,30CM5,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202506,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20250613,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20250600
FUT,754824970,LRC30APR,20250714,0.0,,5000,NYBOT,,USD,30CN5,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202507,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20250715,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20250700
FUT,723386560,LRC30APR,20250213,0.0,,5000,NYBOT,,USD,30CG5,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202502,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20250214,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20250200
FUT,762033259,LRC30APR,20250813,0.0,,5000,NYBOT,,USD,30CQ5,30C,False,,,,,,[],,30C,0.005,,NYBOT,1,566180416,ICE U.S. Conforming 30-yr Fixed Mortgage Rate Lock Weighted APR,202508,,,,,,,,0,1,2147483647,LRC30APR,IND,57,[],20250814,,,1.0,1.0,1.0,,,,,,False,False,0,False,,,,,False,,30YRCONF/20250800
